"age_days","L","M","S","sex"
730,-1.5861,16.145,0.0849,"m"
731,-1.5861,16.1443921971253,0.0848986310746064,"m"
732,-1.5861,16.1431765913758,0.0848958932238193,"m"
733,-1.5861,16.1419609856263,0.0848931553730322,"m"
734,-1.5861,16.1407453798768,0.084890417522245,"m"
735,-1.5861,16.1395297741273,0.0848876796714579,"m"
736,-1.5861,16.1383141683778,0.0848849418206708,"m"
737,-1.5861,16.1370985626283,0.0848822039698836,"m"
738,-1.5861,16.1358829568788,0.0848794661190965,"m"
739,-1.5861,16.1346673511294,0.0848767282683094,"m"
740,-1.5861,16.1334517453799,0.0848739904175222,"m"
741,-1.5861,16.1322361396304,0.0848712525667351,"m"
742,-1.5861,16.1310205338809,0.084868514715948,"m"
743,-1.5861,16.1298049281314,0.0848657768651608,"m"
744,-1.5861,16.1285893223819,0.0848630390143737,"m"
745,-1.5861,16.1273737166324,0.0848603011635866,"m"
746,-1.5861,16.126158110883,0.0848575633127994,"m"
747,-1.5861,16.1249425051335,0.0848548254620123,"m"
748,-1.5861,16.123726899384,0.0848520876112252,"m"
749,-1.5861,16.1225112936345,0.0848493497604381,"m"
750,-1.5861,16.121295687885,0.0848466119096509,"m"
751,-1.5861,16.1200800821355,0.0848438740588638,"m"
752,-1.5861,16.118864476386,0.0848411362080767,"m"
753,-1.5861,16.1176488706366,0.0848383983572895,"m"
754,-1.5861,16.1164332648871,0.0848356605065024,"m"
755,-1.5861,16.1152176591376,0.0848329226557153,"m"
756,-1.5861,16.1140020533881,0.0848301848049281,"m"
757,-1.5861,16.1127864476386,0.084827446954141,"m"
758,-1.5861,16.1115708418891,0.0848247091033539,"m"
759,-1.5861,16.1103552361396,0.0848219712525667,"m"
760,-1.5861,16.1091396303901,0.0848192334017796,"m"
761,-1.5861,16.1079240246407,0.0848164955509925,"m"
762,-1.5861,16.1067084188912,0.0848137577002053,"m"
763,-1.5861,16.1054928131417,0.0848110198494182,"m"
764,-1.5861,16.1042772073922,0.0848082819986311,"m"
765,-1.5861,16.1030616016427,0.0848055441478439,"m"
766,-1.5861,16.1018459958932,0.0848028062970568,"m"
767,-1.5861,16.1006303901437,0.0848000684462697,"m"
768,-1.5861,16.0994147843942,0.0847973305954826,"m"
769,-1.5861,16.0981991786448,0.0847945927446954,"m"
770,-1.5861,16.0969835728953,0.0847918548939083,"m"
771,-1.5861,16.0957679671458,0.0847891170431212,"m"
772,-1.5861,16.0945523613963,0.084786379192334,"m"
773,-1.5861,16.0933367556468,0.0847836413415469,"m"
774,-1.5861,16.0921211498973,0.0847809034907598,"m"
775,-1.5861,16.0909055441478,0.0847781656399726,"m"
776,-1.5861,16.0896899383984,0.0847754277891855,"m"
777,-1.5861,16.0884743326489,0.0847726899383984,"m"
778,-1.5861,16.0872587268994,0.0847699520876112,"m"
779,-1.5861,16.0860431211499,0.0847672142368241,"m"
780,-1.5861,16.0848275154004,0.084764476386037,"m"
781,-1.5861,16.0836119096509,0.0847617385352498,"m"
