"age_days","L","M","S","sex"
731,1,87.1303,0.03508,"m"
732,1,87.1587,0.03509,"m"
733,1,87.1871,0.0351,"m"
734,1,87.2155,0.03511,"m"
735,1,87.2439,0.03513,"m"
736,1,87.2722,0.03514,"m"
737,1,87.3006,0.03515,"m"
738,1,87.3289,0.03516,"m"
739,1,87.3571,0.03517,"m"
740,1,87.3854,0.03518,"m"
741,1,87.4136,0.03519,"m"
742,1,87.4419,0.03521,"m"
743,1,87.4701,0.03522,"m"
744,1,87.4982,0.03523,"m"
745,1,87.5264,0.03524,"m"
746,1,87.5545,0.03525,"m"
747,1,87.5826,0.03526,"m"
748,1,87.6107,0.03527,"m"
749,1,87.6388,0.03528,"m"
750,1,87.6668,0.0353,"m"
751,1,87.6948,0.03531,"m"
752,1,87.7228,0.03532,"m"
753,1,87.7508,0.03533,"m"
754,1,87.7788,0.03534,"m"
755,1,87.8067,0.03535,"m"
756,1,87.8346,0.03536,"m"
757,1,87.8625,0.03538,"m"
758,1,87.8903,0.03539,"m"
759,1,87.9181,0.0354,"m"
760,1,87.946,0.03541,"m"
761,1,87.9737,0.03542,"m"
762,1,88.0015,0.03543,"m"
763,1,88.0292,0.03544,"m"
764,1,88.057,0.03545,"m"
765,1,88.0846,0.03547,"m"
766,1,88.1123,0.03548,"m"
767,1,88.14,0.03549,"m"
768,1,88.1676,0.0355,"m"
769,1,88.1952,0.03551,"m"
770,1,88.2228,0.03552,"m"
771,1,88.2503,0.03553,"m"
772,1,88.2778,0.03555,"m"
773,1,88.3053,0.03556,"m"
774,1,88.3328,0.03557,"m"
775,1,88.3603,0.03558,"m"
776,1,88.3877,0.03559,"m"
777,1,88.4151,0.0356,"m"
778,1,88.4425,0.03561,"m"
779,1,88.4699,0.03562,"m"
780,1,88.4972,0.03564,"m"
781,1,88.5245,0.03565,"m"
782,1,88.5518,0.03566,"m"
783,1,88.5791,0.03567,"m"
784,1,88.6063,0.03568,"m"
785,1,88.6335,0.03569,"m"
786,1,88.6607,0.0357,"m"
787,1,88.6879,0.03571,"m"
788,1,88.715,0.03572,"m"
789,1,88.7422,0.03574,"m"
790,1,88.7693,0.03575,"m"
791,1,88.7964,0.03576,"m"
792,1,88.8234,0.03577,"m"
793,1,88.8504,0.03578,"m"
794,1,88.8775,0.03579,"m"
795,1,88.9044,0.0358,"m"
796,1,88.9314,0.03581,"m"
797,1,88.9584,0.03582,"m"
798,1,88.9853,0.03584,"m"
799,1,89.0122,0.03585,"m"
800,1,89.0391,0.03586,"m"
801,1,89.0659,0.03587,"m"
802,1,89.0927,0.03588,"m"
803,1,89.1195,0.03589,"m"
804,1,89.1463,0.0359,"m"
805,1,89.1731,0.03591,"m"
806,1,89.1998,0.03592,"m"
807,1,89.2266,0.03593,"m"
808,1,89.2533,0.03595,"m"
809,1,89.2799,0.03596,"m"
810,1,89.3066,0.03597,"m"
811,1,89.3332,0.03598,"m"
812,1,89.3598,0.03599,"m"
813,1,89.3864,0.036,"m"
814,1,89.413,0.03601,"m"
815,1,89.4395,0.03602,"m"
816,1,89.466,0.03603,"m"
817,1,89.4925,0.03604,"m"
818,1,89.519,0.03605,"m"
819,1,89.5455,0.03607,"m"
820,1,89.5719,0.03608,"m"
821,1,89.5983,0.03609,"m"
822,1,89.6247,0.0361,"m"
823,1,89.651,0.03611,"m"
824,1,89.6774,0.03612,"m"
825,1,89.7037,0.03613,"m"
826,1,89.73,0.03614,"m"
827,1,89.7563,0.03615,"m"
828,1,89.7825,0.03616,"m"
829,1,89.8087,0.03617,"m"
830,1,89.8349,0.03618,"m"
831,1,89.8611,0.0362,"m"
832,1,89.8873,0.03621,"m"
833,1,89.9134,0.03622,"m"
834,1,89.9395,0.03623,"m"
835,1,89.9656,0.03624,"m"
836,1,89.9917,0.03625,"m"
837,1,90.0177,0.03626,"m"
838,1,90.0437,0.03627,"m"
839,1,90.0697,0.03628,"m"
840,1,90.0957,0.03629,"m"
841,1,90.1216,0.0363,"m"
842,1,90.1476,0.03631,"m"
843,1,90.1735,0.03632,"m"
844,1,90.1994,0.03633,"m"
845,1,90.2252,0.03634,"m"
846,1,90.251,0.03636,"m"
847,1,90.2769,0.03637,"m"
848,1,90.3026,0.03638,"m"
849,1,90.3284,0.03639,"m"
850,1,90.3541,0.0364,"m"
851,1,90.3799,0.03641,"m"
852,1,90.4056,0.03642,"m"
853,1,90.4312,0.03643,"m"
854,1,90.4569,0.03644,"m"
855,1,90.4825,0.03645,"m"
856,1,90.5081,0.03646,"m"
857,1,90.5337,0.03647,"m"
858,1,90.5592,0.03648,"m"
859,1,90.5848,0.03649,"m"
860,1,90.6103,0.0365,"m"
861,1,90.6358,0.03651,"m"
862,1,90.6612,0.03652,"m"
863,1,90.6867,0.03653,"m"
864,1,90.7121,0.03654,"m"
865,1,90.7375,0.03655,"m"
866,1,90.7628,0.03656,"m"
867,1,90.7882,0.03657,"m"
868,1,90.8135,0.03659,"m"
869,1,90.8388,0.0366,"m"
870,1,90.8641,0.03661,"m"
871,1,90.8893,0.03662,"m"
872,1,90.9146,0.03663,"m"
873,1,90.9398,0.03664,"m"
874,1,90.965,0.03665,"m"
875,1,90.9901,0.03666,"m"
876,1,91.0153,0.03667,"m"
877,1,91.0404,0.03668,"m"
878,1,91.0655,0.03669,"m"
879,1,91.0905,0.0367,"m"
880,1,91.1156,0.03671,"m"
881,1,91.1406,0.03672,"m"
882,1,91.1656,0.03673,"m"
883,1,91.1906,0.03674,"m"
884,1,91.2155,0.03675,"m"
885,1,91.2405,0.03676,"m"
886,1,91.2654,0.03677,"m"
887,1,91.2903,0.03678,"m"
888,1,91.3151,0.03679,"m"
889,1,91.34,0.0368,"m"
890,1,91.3648,0.03681,"m"
891,1,91.3896,0.03682,"m"
892,1,91.4144,0.03683,"m"
893,1,91.4391,0.03684,"m"
894,1,91.4639,0.03685,"m"
895,1,91.4886,0.03686,"m"
896,1,91.5133,0.03687,"m"
897,1,91.5379,0.03688,"m"
898,1,91.5626,0.03689,"m"
899,1,91.5872,0.0369,"m"
900,1,91.6118,0.03691,"m"
901,1,91.6364,0.03692,"m"
902,1,91.6609,0.03693,"m"
903,1,91.6855,0.03694,"m"
