__SVJCKHsex,__SVJCKHxvar,__SVJCKHl,__SVJCKHm,__SVJCKHs
1,.03832991,.41769999,13.6377,.09454
1,.057494868,.34490001,14.2241,.092299998
1,.076659821,.2881,14.7714,.090719998
1,.083333336,.27079999,14.9441,.090269998
1,.095824778,.24089999,15.2355,.089529999
1,.11498974,.20029999,15.6107,.088590004
1,.13415469,.1645,15.9169,.087820001
1,.15331964,.13240001,16.1698,.087169997
1,.16666667,.1118,16.3195,.086769998
1,.17248461,.1032,16.3787,.086609997
1,.19164956,.0766,16.5494,.086120002
1,.21081451,.052000001,16.6882,.085689999
1,.22997947,.029100001,16.8016,.085309997
1,.24914442,.0077,16.895,.084959999
1,.25,.0068000001,16.898701,.08495
1,.33333334,-.072700001,17.1579,.083779998
1,.41666666,-.13699999,17.291901,.082960002
1,.5,-.1913,17.342199,.082340002
1,.58333331,-.2385,17.3288,.081830002
1,.66666669,-.2802,17.2647,.0814
1,.75,-.31760001,17.166201,.081019998
1,.83333331,-.35159999,17.0488,.080679998
1,.91666669,-.38280001,16.923901,.080370001
1,1,-.41150001,16.7981,.080090001
1,1.0833334,-.4382,16.674299,.07982
1,1.1666666,-.463,16.5548,.079580002
1,1.25,-.48629999,16.440901,.079350002
1,1.3333334,-.50819999,16.3335,.079130001
1,1.4166666,-.52890003,16.232901,.078919999
1,1.5,-.54839998,16.1392,.078730002
1,1.5833334,-.56690001,16.052799,.078539997
1,1.6666666,-.58459997,15.9743,.078359999
1,1.75,-.60140002,15.9039,.07818
1,1.8333334,-.61739999,15.8412,.078019999
1,1.9166666,-.63279998,15.7852,.077859998
1,2,-.6473,15.7356,.077710003
1,2,-.61870003,16.0189,.077849999
1,2.0833333,-.58399999,15.98,.077919997
1,2.1666667,-.54970002,15.9414,.078000002
1,2.25,-.51660001,15.9036,.078079998
1,2.3333333,-.48500001,15.8667,.07818
1,2.4166667,-.45519999,15.8306,.078290001
1,2.5,-.42739999,15.7953,.07841
1,2.5833333,-.4016,15.7606,.078539997
1,2.6666667,-.37819999,15.7267,.078670003
1,2.75,-.3572,15.6934,.078819998
1,2.8333333,-.33880001,15.661,.07897
1,2.9166667,-.3231,15.6294,.07914
1,3,-.31009999,15.5988,.07931
1,3.0833333,-.30000001,15.5693,.079499997
1,3.1666667,-.29269999,15.541,.079690002
1,3.25,-.28839999,15.514,.079899997
1,3.3333333,-.28690001,15.4885,.080119997
1,3.4166667,-.2881,15.4645,.080360003
1,3.5,-.29190001,15.442,.08061
1,3.5833333,-.29809999,15.421,.080870003
1,3.6666667,-.30669999,15.4013,.081150003
1,3.75,-.31740001,15.3827,.081440002
1,3.8333333,-.3303,15.3652,.081739999
1,3.9166667,-.3452,15.3485,.082050003
1,4,-.36219999,15.3326,.082379997
1,4,-1.291,15.752,.076839998
1,4.0830002,-1.309,15.727,.076870002
1,4.1669998,-1.325,15.704,.076920003
1,4.25,-1.342,15.682,.077
1,4.3330002,-1.359,15.662,.077090003
1,4.4169998,-1.375,15.644,.077200003
1,4.5,-1.391,15.626,.077330001
1,4.5830002,-1.4069999,15.61,.077480003
1,4.6669998,-1.4220001,15.595,.077650003
1,4.75,-1.437,15.582,.07784
1,4.8330002,-1.452,15.569,.078060001
1,4.9169998,-1.467,15.557,.078290001
1,5,-1.4809999,15.547,.078560002
1,5.0830002,-1.495,15.538,.078840002
1,5.1669998,-1.5089999,15.53,.079149999
1,5.25,-1.523,15.523,.07948
1,5.3330002,-1.536,15.517,.079829998
1,5.4169998,-1.549,15.511,.080200002
1,5.5,-1.562,15.507,.080590002
1,5.5830002,-1.575,15.503,.081
1,5.6669998,-1.587,15.5,.081430003
1,5.75,-1.599,15.498,.081890002
1,5.8330002,-1.6109999,15.497,.082350001
1,5.9169998,-1.622,15.497,.082840003
1,6,-1.6339999,15.498,.083339997
1,6.0830002,-1.6440001,15.499,.083860002
1,6.1669998,-1.655,15.501,.08439
1,6.25,-1.665,15.503,.084940001
1,6.3330002,-1.675,15.507,.085490003
1,6.4169998,-1.6849999,15.511,.086060002
1,6.5,-1.694,15.516,.086630002
1,6.5830002,-1.704,15.522,.087219998
1,6.6669998,-1.7130001,15.529,.087810002
1,6.75,-1.721,15.536,.088409998
1,6.8330002,-1.73,15.545,.08901
1,6.9169998,-1.738,15.554,.089620002
1,7,-1.745,15.564,.090230003
1,7.0830002,-1.753,15.575,.090839997
1,7.1669998,-1.76,15.587,.091449998
1,7.25,-1.767,15.6,.092069998
1,7.3330002,-1.774,15.614,.09268
1,7.4169998,-1.781,15.628,.0933
1,7.5,-1.7869999,15.643,.093910001
1,7.5830002,-1.793,15.659,.094509996
1,7.6669998,-1.798,15.675,.095119998
1,7.75,-1.804,15.692,.095720001
1,7.8330002,-1.809,15.71,.096320003
1,7.9169998,-1.814,15.729,.09691
1,8,-1.818,15.748,.097489998
1,8.0830002,-1.823,15.768,.098070003
1,8.1669998,-1.827,15.789,.098640002
1,8.25,-1.83,15.81,.099200003
1,8.3330002,-1.834,15.833,.099760003
1,8.4169998,-1.837,15.855,.1003
1,8.5,-1.84,15.88,.10084
1,8.5830002,-1.8430001,15.904,.10137
1,8.6669998,-1.846,15.929,.10189
1,8.75,-1.848,15.955,.1024
1,8.8330002,-1.85,15.982,.1029
1,8.9169998,-1.852,16.009001,.1034
1,9,-1.854,16.037001,.10388
1,9.0830002,-1.855,16.066,.10435
1,9.1669998,-1.8559999,16.094999,.10482
1,9.25,-1.857,16.125,.10527
1,9.3330002,-1.858,16.155001,.10571
1,9.4169998,-1.858,16.187,.10615
1,9.5,-1.859,16.219,.10657
1,9.5830002,-1.859,16.250999,.10698
1,9.6669998,-1.859,16.284,.10738
1,9.75,-1.859,16.318001,.10777
1,9.8330002,-1.859,16.351999,.10815
1,9.9169998,-1.858,16.386999,.10852
1,10,-1.857,16.423,.10888
1,10.083,-1.8559999,16.459,.10923
1,10.167,-1.855,16.496,.10957
1,10.25,-1.854,16.533001,.1099
1,10.333,-1.853,16.57,.11022
1,10.417,-1.851,16.608999,.11054
1,10.5,-1.85,16.648001,.11084
1,10.583,-1.848,16.687,.11114
1,10.667,-1.846,16.726999,.11143
1,10.75,-1.844,16.768,.1117
1,10.833,-1.842,16.808001,.11197
1,10.917,-1.839,16.85,.11223
1,11,-1.837,16.892,.11249
1,11.083,-1.834,16.934999,.11273
1,11.167,-1.831,16.976999,.11296
1,11.25,-1.829,17.02,.11319
1,11.333,-1.826,17.065001,.11341
1,11.417,-1.823,17.108,.11362
1,11.5,-1.819,17.153999,.11382
1,11.583,-1.816,17.198999,.11402
1,11.667,-1.813,17.243999,.1142
1,11.75,-1.809,17.291,.11438
1,11.833,-1.806,17.337999,.11456
1,11.917,-1.802,17.386,.11472
1,12,-1.799,17.433001,.11488
1,12.083,-1.795,17.481001,.11503
1,12.167,-1.791,17.530001,.11517
1,12.25,-1.7869999,17.579,.11532
1,12.333,-1.783,17.629,.11545
1,12.417,-1.78,17.679001,.11558
1,12.5,-1.776,17.729,.1157
1,12.583,-1.771,17.778999,.11581
1,12.667,-1.767,17.83,.11592
1,12.75,-1.763,17.881001,.11603
1,12.833,-1.7589999,17.933001,.11613
1,12.917,-1.755,17.985001,.11622
1,13,-1.75,18.037001,.11631
1,13.083,-1.7460001,18.089001,.11639
1,13.167,-1.742,18.142,.11647
1,13.25,-1.738,18.194,.11655
1,13.333,-1.733,18.247,.11662
1,13.417,-1.729,18.299999,.11668
1,13.5,-1.724,18.354,.11674
1,13.583,-1.72,18.407,.1168
1,13.667,-1.715,18.459999,.11685
1,13.75,-1.711,18.514,.1169
1,13.833,-1.707,18.566999,.11695
1,13.917,-1.702,18.621,.11699
1,14,-1.697,18.674999,.11703
1,14.083,-1.693,18.729,.11706
1,14.167,-1.689,18.783001,.1171
1,14.25,-1.684,18.836,.11712
1,14.333,-1.6799999,18.889999,.11715
1,14.417,-1.675,18.944,.11717
1,14.5,-1.671,18.997,.11719
1,14.583,-1.666,19.051001,.11721
1,14.667,-1.661,19.104,.11722
1,14.75,-1.6569999,19.158001,.11723
1,14.833,-1.652,19.211,.11724
1,14.917,-1.648,19.264,.11724
1,15,-1.643,19.316999,.11725
1,15.083,-1.6390001,19.370001,.11725
1,15.167,-1.635,19.423,.11725
1,15.25,-1.63,19.475,.11724
1,15.333,-1.626,19.528,.11724
1,15.417,-1.6210001,19.579,.11723
1,15.5,-1.617,19.632,.11722
1,15.583,-1.612,19.683001,.11721
1,15.667,-1.608,19.735001,.11719
1,15.75,-1.603,19.785999,.11718
1,15.833,-1.599,19.837,.11716
1,15.917,-1.595,19.886999,.11714
1,16,-1.59,19.938,.11712
1,16.083,-1.586,19.988001,.1171
1,16.167,-1.582,20.038,.11708
1,16.25,-1.577,20.087,.11706
1,16.333,-1.573,20.136999,.11703
1,16.417,-1.569,20.186001,.117
1,16.5,-1.564,20.233999,.11698
1,16.583,-1.5599999,20.282,.11695
1,16.667,-1.556,20.33,.11692
1,16.75,-1.551,20.378,.11689
1,16.833,-1.5470001,20.424999,.11686
1,16.917,-1.543,20.472,.11683
1,17,-1.538,20.518999,.1168
1,17.083,-1.534,20.565001,.11677
1,17.167,-1.53,20.611,.11674
1,17.25,-1.526,20.656,.1167
1,17.333,-1.521,20.702,.11667
1,17.417,-1.517,20.746,.11663
1,17.5,-1.513,20.791,.1166
1,17.583,-1.5089999,20.836,.11657
1,17.667,-1.505,20.879,.11653
1,17.75,-1.501,20.923,.11649
1,17.833,-1.4960001,20.966999,.11646
1,17.917,-1.492,21.009001,.11642
1,18,-1.488,21.052,.11639
1,18.083,-1.484,21.094999,.11635
1,18.167,-1.48,21.136,.11631
1,18.25,-1.476,21.177999,.11628
1,18.333,-1.472,21.219999,.11624
1,18.417,-1.467,21.26,.1162
1,18.5,-1.4630001,21.301001,.11617
1,18.583,-1.459,21.341999,.11613
1,18.667,-1.455,21.382,.11609
1,18.75,-1.451,21.422001,.11605
1,18.833,-1.447,21.461,.11602
1,18.917,-1.443,21.500999,.11598
1,19,-1.439,21.540001,.11594
1,19.083,-1.4349999,21.577999,.11591
1,19.167,-1.431,21.617001,.11587
1,19.25,-1.427,21.655001,.11583
1,19.333,-1.423,21.693001,.1158
1,19.417,-1.419,21.73,.11576
1,19.5,-1.415,21.768,.11572
1,19.583,-1.4119999,21.805,.11569
