__SVJCKHsex,__SVJCKHxvar,__SVJCKHl,__SVJCKHm,__SVJCKHs
1,-.057494868,1,35,.038199998
1,.03832991,1,35,.038199998
1,.03832991,1,35.864899,.032579999
1,.057494868,1,36.521599,.031970002
1,.076659821,1,37.092602,.031479999
1,.083333336,1,37.275902,.031330001
1,.095824778,1,37.601002,.03107
1,.11498974,1,38.060902,.030719999
1,.13415469,1,38.482399,.030409999
1,.15331964,1,38.872398,.030139999
1,.16666667,1,39.128502,.02997
1,.17248461,1,39.236801,.029899999
1,.19164956,1,39.5797,.029689999
1,.21081451,1,39.903301,.0295
1,.22997947,1,40.209599,.02933
1,.24914442,1,40.500801,.02918
1,.25,1,40.5135,.02918
1,.33333334,1,41.631699,.02868
1,.41666666,1,42.557598,.02837
1,.5,1,43.330601,.028170001
1,.58333331,1,43.980301,.028039999
1,.66666669,1,44.529999,.027960001
1,.75,1,44.999802,.02792
1,.83333331,1,45.405102,.027899999
1,.91666669,1,45.757301,.02789
1,1,1,46.066101,.02789
1,1.0833334,1,46.3395,.02789
1,1.1666666,1,46.5844,.02791
1,1.25,1,46.806,.02792
1,1.3333334,1,47.008801,.02795
1,1.4166666,1,47.196201,.027969999
1,1.5,1,47.371101,.028000001
1,1.5833334,1,47.535702,.028030001
1,1.6666666,1,47.691898,.02806
1,1.75,1,47.840801,.028100001
1,1.8333334,1,47.983299,.02813
1,1.9166666,1,48.120098,.028170001
1,2,1,48.251499,.028209999
1,2,1,48.251499,.028209999
1,2.0833333,1,48.377701,.02825
1,2.1666667,1,48.498901,.0283
1,2.25,1,48.615101,.028340001
1,2.3333333,1,48.726398,.028379999
1,2.4166667,1,48.833099,.028419999
1,2.5,1,48.935101,.02847
1,2.5833333,1,49.0327,.028510001
1,2.6666667,1,49.125999,.028550001
1,2.75,1,49.215302,.028589999
1,2.8333333,1,49.300701,.02863
1,2.9166667,1,49.382599,.02867
1,3,1,49.461201,.02871
1,3.0833333,1,49.536701,.028750001
1,3.1666667,1,49.609299,.02878
1,3.25,1,49.6791,.028820001
1,3.3333333,1,49.746498,.028860001
1,3.4166667,1,49.8116,.028890001
1,3.5,1,49.8745,.028929999
1,3.5833333,1,49.935398,.028960001
1,3.6666667,1,49.994202,.02899
1,3.75,1,50.051201,.029030001
1,3.8333333,1,50.1064,.029060001
1,3.9166667,1,50.159801,.02909
1,4,1,50.211498,.02912
1,4,1,52.215,.02809
1,4.0830002,1,52.265999,.02813
1,4.1669998,1,52.314999,.028179999
1,4.25,1,52.362,.02822
1,4.3330002,1,52.409,.028270001
1,4.4169998,1,52.455002,.028310001
1,4.5,1,52.499001,.028349999
1,4.5830002,1,52.542999,.02839
1,4.6669998,1,52.584999,.028419999
1,4.75,1,52.625999,.02846
1,4.8330002,1,52.667,.028489999
1,4.9169998,1,52.708,.028519999
1,5,1,52.747002,.028550001
1,5.0830002,1,52.785999,.028580001
1,5.1669998,1,52.823002,.02861
1,5.25,1,52.860001,.02864
1,5.3330002,1,52.896,.02867
1,5.4169998,1,52.931999,.028689999
1,5.5,1,52.966999,.028720001
1,5.5830002,1,53.001999,.02874
1,5.6669998,1,53.035999,.028759999
1,5.75,1,53.07,.02878
1,5.8330002,1,53.103001,.0288
1,5.9169998,1,53.136002,.028829999
1,6,1,53.167999,.02884
1,6.0830002,1,53.200001,.028860001
1,6.1669998,1,53.231998,.02888
1,6.25,1,53.264,.028899999
1,6.3330002,1,53.293999,.02892
1,6.4169998,1,53.325001,.028929999
1,6.5,1,53.355999,.02895
1,6.5830002,1,53.387001,.028960001
1,6.6669998,1,53.416,.02898
1,6.75,1,53.445999,.02899
1,6.8330002,1,53.476002,.028999999
1,6.9169998,1,53.505001,.02902
1,7,1,53.534,.029030001
1,7.0830002,1,53.563,.029039999
1,7.1669998,1,53.591,.02905
