__SVJCKHsex,__SVJCKHxvar,__SVJCKHl,__SVJCKHm,__SVJCKHs
1,-.057494868,1,51,.0451
1,.03832991,1,51,.0451
1,.03832991,1,52.3461,.036520001
1,.057494868,1,53.390499,.036090001
1,.076659821,1,54.3881,.035700001
1,.083333336,1,54.7244,.035569999
1,.095824778,1,55.337399,.03534
1,.11498974,1,56.235699,.035009999
1,.13415469,1,57.085098,.034699999
1,.15331964,1,57.888901,.034419999
1,.16666667,1,58.4249,.03424
1,.17248461,1,58.653599,.034159999
1,.19164956,1,59.387199,.033920001
1,.21081451,1,60.089401,.033690002
1,.22997947,1,60.760502,.03348
1,.24914442,1,61.401299,.033289999
1,.25,1,61.429199,.03328
1,.33333334,1,63.886002,.032570001
1,.41666666,1,65.902603,.03204
1,.5,1,67.623596,.031649999
1,.58333331,1,69.164497,.03139
1,.66666669,1,70.599403,.031239999
1,.75,1,71.968697,.031169999
1,.83333331,1,73.281197,.03118
1,.91666669,1,74.538803,.03125
1,1,1,75.748802,.031369999
1,1.0833334,1,76.918602,.031539999
1,1.1666666,1,78.049698,.031739999
1,1.25,1,79.145798,.031970002
1,1.3333334,1,80.211304,.032219999
1,1.4166666,1,81.248703,.032499999
1,1.5,1,82.258698,.032790001
1,1.5833334,1,83.241798,.033100002
1,1.6666666,1,84.1996,.03342
1,1.75,1,85.134804,.03376
1,1.8333334,1,86.047699,.0341
1,1.9166666,1,86.941002,.034449998
1,2,1,87.816101,.034790002
1,2,1,87.116096,.035069998
1,2.0833333,1,87.972,.035420001
1,2.1666667,1,88.806503,.03576
1,2.25,1,89.619698,.0361
1,2.3333333,1,90.412003,.036419999
1,2.4166667,1,91.1828,.036740001
1,2.5,1,91.932701,.037039999
1,2.5833333,1,92.663101,.037330002
1,2.6666667,1,93.375298,.037610002
1,2.75,1,94.071098,.037870001
1,2.8333333,1,94.753197,.038120002
1,2.9166667,1,95.423599,.03836
1,3,1,96.083504,.03858
1,3.0833333,1,96.733704,.038789999
1,3.1666667,1,97.374901,.039000001
1,3.25,1,98.007301,.039190002
1,3.3333333,1,98.630997,.03937
1,3.4166667,1,99.245903,.03954
1,3.5,1,99.851501,.03971
1,3.5833333,1,100.4485,.039859999
1,3.6666667,1,101.0374,.04002
1,3.75,1,101.6186,.04016
1,3.8333333,1,102.1933,.040309999
1,3.9166667,1,102.7625,.040449999
1,4,1,103.3273,.040589999
1,4,1,102.49,.04008
1,4.0830002,1,103.06,.040210001
1,4.1669998,1,103.64,.04033
1,4.25,1,104.22,.040449999
1,4.3330002,1,104.8,.040569998
1,4.4169998,1,105.4,.040679999
1,4.5,1,106,.04078
1,4.5830002,1,106.6,.040890001
1,4.6669998,1,107.21,.04098
1,4.75,1,107.81,.041069999
1,4.8330002,1,108.41,.04115
1,4.9169998,1,109.01,.041230001
1,5,1,109.59,.041310001
1,5.0830002,1,110.16,.041370001
1,5.1669998,1,110.73,.041439999
1,5.25,1,111.28,.04149
1,5.3330002,1,111.81,.041549999
1,5.4169998,1,112.35,.0416
1,5.5,1,112.87,.041650001
1,5.5830002,1,113.38,.041700002
1,5.6669998,1,113.9,.04174
1,5.75,1,114.41,.041779999
1,5.8330002,1,114.92,.041820001
1,5.9169998,1,115.43,.041859999
1,6,1,115.93,.041900001
1,6.0830002,1,116.44,.041930001
1,6.1669998,1,116.94,.04197
1,6.25,1,117.44,.041999999
1,6.3330002,1,117.94,.042029999
1,6.4169998,1,118.43,.042059999
1,6.5,1,118.93,.042089999
1,6.5830002,1,119.42,.042119998
1,6.6669998,1,119.91,.042160001
1,6.75,1,120.41,.04219
1,6.8330002,1,120.9,.042229999
1,6.9169998,1,121.4,.042270001
1,7,1,121.9,.042309999
1,7.0830002,1,122.4,.04236
1,7.1669998,1,122.9,.042399999
1,7.25,1,123.4,.04245
1,7.3330002,1,123.9,.042490002
1,7.4169998,1,124.4,.042539999
1,7.5,1,124.9,.04259
1,7.5830002,1,125.4,.042629998
1,7.6669998,1,125.89,.04267
1,7.75,1,126.39,.042720001
1,7.8330002,1,126.87,.04276
1,7.9169998,1,127.36,.042800002
1,8,1,127.85,.04284
1,8.0830002,1,128.33,.042890001
1,8.1669998,1,128.8,.04293
1,8.25,1,129.27,.042970002
1,8.3330002,1,129.74001,.043019999
1,8.4169998,1,130.19,.04307
1,8.5,1,130.64,.043120001
1,8.5830002,1,131.09,.04318
1,8.6669998,1,131.53999,.04324
1,8.75,1,131.97,.043299999
1,8.8330002,1,132.41,.043370001
1,8.9169998,1,132.84,.043439999
1,9,1,133.28,.043510001
1,9.0830002,1,133.71001,.043590002
1,9.1669998,1,134.14,.043669999
1,9.25,1,134.57001,.043760002
1,9.3330002,1,134.99001,.043839999
1,9.4169998,1,135.42,.04394
1,9.5,1,135.84,.04403
1,9.5830002,1,136.25999,.044130001
1,9.6669998,1,136.67999,.044229999
1,9.75,1,137.10001,.044330001
1,9.8330002,1,137.53,.044440001
1,9.9169998,1,137.96001,.04456
1,10,1,138.39,.044679999
