__SVJCKHsex,__SVJCKHxvar,__SVJCKHl,__SVJCKHm,__SVJCKHs
1,-.057494868,1,3.5,.1427
1,.03832991,1,3.5,.1427
1,.03832991,.2581,3.7528999,.14142001
1,.057494868,.24420001,4.0602999,.13807
1,.076659821,.2331,4.3670998,.13496999
1,.083333336,.2297,4.4709001,.13395
1,.095824778,.2237,4.6589999,.13214999
1,.11498974,.2155,4.9303002,.1296
1,.13415469,.20810001,5.1817002,.12729
1,.15331964,.2014,5.4148998,.1252
1,.16666667,.197,5.5675001,.12385
1,.17248461,.1952,5.6318998,.1233
1,.19164956,.1894,5.8346,.12157
1,.21081451,.184,6.0242,.12001
1,.22997947,.1789,6.2019,.1186
1,.24914442,.17399999,6.369,.11732
1,.25,.17380001,6.3762002,.11727
1,.33333334,.15530001,7.0022998,.11316
1,.41666666,.13950001,7.5105,.1108
1,.5,.1257,7.934,.10958
1,.58333331,.1134,8.2969999,.10902
1,.66666669,.1021,8.6150999,.10882
1,.75,.091700003,8.9013996,.10881
1,.83333331,.082000002,9.1648998,.10891
1,.91666669,.072999999,9.4122,.10906
1,1,.064400002,9.6478996,.10925
1,1.0833334,.056299999,9.8748999,.10949
1,1.1666666,.048700001,10.0953,.10976
1,1.25,.041299999,10.3108,.11007
1,1.3333334,.034299999,10.5228,.11041
1,1.4166666,.0275,10.7319,.11079
1,1.5,.0211,10.9385,.11119
1,1.5833334,.0148,11.143,.11164
1,1.6666666,.0087000001,11.3462,.11211
1,1.75,.0029,11.5486,.11261
1,1.8333334,-.0027999999,11.7504,.11314
1,1.9166666,-.0082999999,11.9514,.11369
1,2,-.0137,12.1515,.11426
1,2,-.0137,12.1515,.11426
1,2.0833333,-.0189,12.3502,.11485
1,2.1666667,-.024,12.5466,.11544
1,2.25,-.028899999,12.7401,.11604
1,2.3333333,-.0337,12.9303,.11664
1,2.4166667,-.0385,13.1169,.11723
1,2.5,-.043099999,13.3,.11781
1,2.5833333,-.047600001,13.4798,.11839
1,2.6666667,-.052000001,13.6567,.11896
1,2.75,-.056400001,13.8309,.11953
1,2.8333333,-.060600001,14.0031,.12008
1,2.9166667,-.064800002,14.1736,.12062
1,3,-.068899997,14.3429,.12116
1,3.0833333,-.072899997,14.5113,.12168
1,3.1666667,-.076899998,14.6791,.1222
1,3.25,-.080799997,14.8466,.12271
1,3.3333333,-.084600002,15.014,.12322
1,3.4166667,-.088299997,15.1813,.12373
1,3.5,-.092,15.3486,.12425
1,3.5833333,-.095700003,15.5158,.12478
1,3.6666667,-.099299997,15.6828,.12531
1,3.75,-.1028,15.8497,.12586001
1,3.8333333,-.1063,16.0163,.12643
1,3.9166667,-.1097,16.182699,.127
1,4,-.1131,16.3489,.12759
1,4,-.426,16.551001,.11649
1,4.0830002,-.43700001,16.708099,.11682
1,4.1669998,-.44800001,16.8689,.11717
1,4.25,-.45899999,17.033001,.11752
1,4.3330002,-.47099999,17.201099,.11788
1,4.4169998,-.48199999,17.3729,.11826
1,4.5,-.49399999,17.548,.11864
1,4.5830002,-.50599998,17.7253,.11903
1,4.6669998,-.51800001,17.904301,.11942
